번호,터미널명,구,동,주소,등록일자,보관대수,위도,경도
1,경남은행 본점 앞,마산합포구,교방동,경남 창원시 마산회원구 석전동  267 도로,2011-08-10,20,35.23023141,128.5766995
2,경남지방경찰청,마산합포구,교방동,경남 창원시 의창구 사림동  1-2 대,2010-01-11,30,35.23649287,128.6935687
3,대동다숲아파트 앞,마산합포구,문화동,경남 창원시 진해구 장천동  119-14 도로,2011-08-05,20,35.12992097,128.7065077
4,대동백화점,마산합포구,문화동,경남 창원시 성산구 상남동  503 도,2010-06-22,30,35.2211648,128.6903393
5,도계동 안골,마산합포구,반월중앙동,경남 창원시 의창구 도계동  88-6(도),2021-07-27,20,35.2637831,128.6425987
6,도계동 정류소앞,마산합포구,반월중앙동,경남 창원시 의창구 도계동  444번지 버스정류소 옆,2008-10-02,20,35.25864727,128.6333799
7,소계동 SK주유소앞,마산합포구,오동동,경남 창원시 의창구 소계동  366-3 도,2010-01-11,25,35.25584599,128.6003378
8,소라아파트앞,마산합포구,오동동,경남 창원시 성산구 가음정동  558-2 도,2009-05-13,40,35.20811746,128.6866701
9,소죽도 찜질방,마산합포구,오동동,경남 창원시 진해구 덕산동  585번지 소죽도찜질방,2013-10-05,14,35.14095425,128.6888427
10,속천종점,마산합포구,오동동,경남 창원시 진해구 태평동  86-58도,2011-08-05,20,35.14392398,128.6698902
11,시민생활체육관,마산합포구,오동동,경남 창원시 성산구 상남동  503 도,2009-04-23,45,35.22271176,128.6881185
12,시청사거리(옛한서병원),마산합포구,오동동,경남 창원시 성산구 중앙동  516-3 한서한방병원 앞,2008-08-18,30,35.22758252,128.6796293
13,유니시티2단지 공원,마산합포구,월영동,경남 창원시 의창구 중동  793-1,2019-12-26,30,35.257951,128.6281847
14,육호광장,마산합포구,월영동,경남 창원시 마산합포구 상남동  142-2 육호광장,2011-08-05,16,35.21200953,128.5753047
15,윤병원 건너편,마산합포구,월영동,경남 창원시 의창구 서상동  305-6,2009-04-23,20,35.26133675,128.6207601
16,은아상가,마산합포구,월영동,경남 창원시 성산구 신월동  501-22 도,2009-05-13,25,35.22696466,128.6867934
17,은아아파트 정문,마산합포구,월영동,경남 창원시 성산구 신월동  503 도,2009-04-23,33,35.22451067,128.685852
18,해군의집,마산합포구,합포동,경남 창원시 진해구 도천동  중장로 13 도로,2011-08-05,24,35.15333913,128.6545104
19,허앤리병원 버스정류소,마산합포구,현동,경남 창원시 의창구 명서동  500-3도,2009-04-23,25,35.24391485,128.6480811
20,현동LH1단지앞 사거리,마산합포구,현동,경남 창원시 마산합포구 현동 1295,,,35.1510772,128.5539188
21,경상대병원동문,마산회원구,구암1동,경남 창원시 성산구 삼정자동  530,2016-07-21,30,35.19851,128.709068
22,경화동 두산위브,마산회원구,구암1동,경남 창원시 진해구 경화동  1233-31,2020-09-11,20,35.1598368,128.6847228
23,경화동 육교 밑,마산회원구,구암2동,경남 창원시 진해구 경화동  1248 도로,2011-08-05,20,35.15771846,128.6814719
24,경화동포스코더샵,마산회원구,내서읍,경남 창원시 진해구 경화동  1491-3답,2012-08-16,20,35.16018762,128.680222
25,교통문화연수원앞,마산회원구,내서읍,경남 창원시 성산구 반림동  6-4,2009-05-13,26,35.23604595,128.6726904
26,구슬비 공원,마산회원구,내서읍,경남 창원시 의창구 팔용동  팔용동 182 공원,2009-05-07,14,35.26054832,128.6138642
27,구암동KT앞,마산회원구,내서읍,경남 창원시 마산회원구 구암동  100도,2012-08-16,24,35.25026287,128.5983396
28,구암동효도요양병원맞은편,마산회원구,내서읍,경남 창원시 마산회원구 구암동  741,2015-06-14,20,35.247392,128.592424
29,구암중,마산회원구,내서읍,경남 창원시 마산회원구 구암동  1334,2016-07-21,27,35.256414,128.597143
30,국민연금관리공단,마산회원구,내서읍,경남 창원시 성산구 신월동  501-41 국민연금앞 보도,2009-05-13,18,35.2342714,128.6894596
31,금강산면옥본점 앞,마산회원구,내서읍,경남 창원시 진해구 충무동  13-10,2011-01-14,20,35.15223165,128.6621439
32,마산합포구청 앞,마산회원구,봉암동,경남 창원시 마산합포구 중앙동1가  4-11 대,2011-08-05,18,35.19728617,128.5672528
33,마산합포도서관 앞,마산회원구,봉암동,경남 창원시 마산합포구 해운동  61-1 도로,2011-08-05,30,35.1833865,128.5639374
34,삼정자동프리빌리지2차,마산회원구,석전동,경남 창원시 성산구 삼정자동  산56-3임,2012-08-16,16,35.19606312,128.7168396
35,상남꿈에그린아파트정문,마산회원구,석전동,경남 창원시 성산구 상남동  501-7,2016-07-21,30,35.215024,128.679672
36,상남도서관,마산회원구,석전동,경남 창원시 성산구 가음정동  3 답,2009-04-26,20,35.2141834,128.6952102
37,성원 그랜드쇼핑 앞,마산회원구,양덕1동,경남 창원시 성산구 상남동  503 성원 그랜드쇼핑 앞,2008-08-18,35,35.21994212,128.6918145
38,성원3차아파트 버스정류소,마산회원구,양덕2동,경남 창원시 성산구 사파정동  63 답,2009-05-13,28,35.21510158,128.7047455
39,성원중앙상가,마산회원구,양덕2동,경남 창원시 성산구 상남동  503 도,2009-04-12,33,35.21663989,128.6942419
40,성주 유니온빌리지,마산회원구,양덕2동,경남 창원시 성산구 삼정자동  532 답,2010-06-22,25,35.2019897,128.7129235
41,성주동 루이젠하우스 정류소,마산회원구,양덕2동,경남 창원시 성산구 삼정자동  165 전,2011-08-05,20,35.19665054,128.7073553
42,성주동 해성디에스 정문,마산회원구,양덕2동,경남 창원시 성산구 남산동 607,,,35.1990681,128.689258
43,성주동 정동사거리,마산회원구,양덕2동,경남 창원시 성산구 성산동  519 구거,2011-08-05,30,35.19906592,128.6743534
44,한림엘리시온아파트 버스정류소,마산회원구,합성1동,경남 창원시 성산구 가음동  502-2 도,2009-04-26,20,35.21348654,128.6967579
45,한마음병원옆 공원,마산회원구,합성2동,경남 창원시 의창구 사림동  518-10(도),2021-07-27,31,35.2385051,128.7003413
46,합성동 롯데캐슬,마산회원구,합성2동,경남 창원시 마산회원구 합성동  415-19,2020-09-11,20,35.2451788,128.5875195
47,현동초등학교 앞,마산회원구,회성동,경남 창원시 마산합포구 현동  1296,2017-01-30,16,35.1467167,128.5576472
48,회성동한효맨션,마산회원구,회원1동,경남 창원시 마산회원구 회성동  471도,2012-08-16,15,35.23377189,128.5585678
49,회원동농협,마산회원구,회원2동,경남 창원시 마산회원구 회원동  72-3(농협회원동지점),2018-10-15,9,35.2187572,128.5745534
50,회원동팔거리,마산회원구,회원2동,경남 창원시 마산회원구 회원동  72-3도,2012-08-16,19,35.2185222,128.5635781
51,3.15아트 센터 앞,성산구,가음정동,경남 창원시 마산회원구 양덕동  531-2 공원,2011-08-05,19,35.22557773,128.5784376
52,GMB코리아,성산구,가음정동,경남 창원시 성산구 가음정동  394 도,2010-06-22,20,35.20480379,128.6796695
53,KPE창원공장 맞은편,성산구,가음정동,경남 창원시 의창구 팔용동  503-3 도,2009-05-13,17,35.2469667,128.6152938
54,KT마산지점앞,성산구,가음정동,경남 창원시 마산합포구 서성동  66-14도로,2011-08-05,20,35.20299787,128.5711205
55,KT앞(대우아파트맞은편),성산구,가음정동,경남 창원시 성산구 상남동  72-2대,2010-01-11,20,35.21898674,128.6787951
56,LG사원아파트 앞,성산구,가음정동,경남 창원시 성산구 가음동  502-2,2009-04-26,25,35.21038786,128.6958647
57,LG정문,성산구,가음정동,경남 창원시 성산구 웅남동  69 도,2009-05-14,36,35.20932937,128.6649334
58,SK테크노파크,성산구,가음정동,경남 창원시 성산구 성산동  526 도,2010-06-22,25,35.20650447,128.6634099
59,가음동 은아아파트,성산구,가음정동,경남 창원시 성산구 가음동  502-2 도,2010-06-22,25,35.2080035,128.6943036
60,가음동한림풀에버후문,성산구,가음정동,경남 창원시 성산구 가음동  516,2015-06-14,30,35.210546,128.690096
61,가음정 자율방범대앞,성산구,가음정동,경남 창원시 성산구 가음동  가음동 20-8 대,2009-05-08,20,35.20697785,128.7002206
62,가음정더샵센트럴파크2단지,성산구,가음정동,경남 창원시 성산구 가음동  502-3 도,2009-05-13,20,35.20971841,128.699402
63,가음정사거리,성산구,가음정동,경남 창원시 성산구 가음정동  405 도,2010-06-22,25,35.20511062,128.6919755
64,가음정주민센터앞,성산구,가음정동,경남 창원시 성산구 남양동  502-5 가음정주민센터 앞 노외주차장,2008-10-02,40,35.21277214,128.7007436
65,감계공원,성산구,가음정동,경남 창원시 의창구 북면 감계리 237-1 (경남은행북면점앞),2018-10-15,10,35.3012806,128.5942011
66,감계덕산아내APT버스정류소옆,성산구,가음정동,경남 창원시 의창구 북면 감계리 740-2 (덕산아내버스정류소),2018-10-15,10,35.3023499,128.5903715
67,대동황토방아파트 앞 버스정류소,성산구,반송동,경남 창원시 성산구 대방동  361-2 버스정류소 앞,2008-10-02,32,35.20807363,128.7066954
68,대방동성아파트 버스정류소,성산구,반송동,경남 창원시 성산구 남산동  121-2,2010-01-11,35,35.20348881,128.7060785
69,대원동 대동아파트,성산구,반송동,경남 창원시 성산구 삼동동  194-12 대,2010-01-11,25,35.22625257,128.654902
70,대원민원센터,성산구,반송동,경남 창원시 성산구 대원동  93-1 대,2010-06-22,17,35.23245737,128.6507016
71,대원평생학습센터,성산구,반송동,경남 창원시 성산구 대원동  37-5번지,2009-05-11,18,35.23500751,128.6511871
72,덕산동 해군아파트 버스정류소,성산구,반송동,경남 창원시 진해구 자은동  845-1 도로,2011-08-10,20,35.1456698,128.7072909
73,덕산성당 앞,성산구,반송동,경남 창원시 진해구 덕산동  10-22 ,2014-01-23,17,35.1471342,128.7017363
74,덕산아파트 앞,성산구,반송동,경남 창원시 성산구 대방동  496-1,2009-05-13,33,35.21198913,128.7057589
75,도계광장교차로,성산구,반송동,경남 창원시 의창구 소답동  168 (금호온천앞),2018-10-15,25,35.261568,128.6297216
76,명서1민원센터,성산구,사파동,경남 창원시 의창구 명서동  174-14 대,2009-05-13,15,35.24585567,128.6493686
77,명서2민원센터,성산구,사파동,경남 창원시 의창구 명서동  111 체,2009-05-13,25,35.24322263,128.6418074
78,명서다리 앞 버스정류소,성산구,사파동,경남 창원시 의창구 명서동  82번지 명곡교 옆 도계방면 버스정류장,2008-10-02,25,35.24609444,128.6441973
79,명서다리(명서동2동),성산구,사파동,경남 창원시 의창구 명서동  500-3 도,2010-06-22,20,35.24548766,128.6444843
80,명서중학교 정문,성산구,사파동,경남 창원시 의창구 명서동  500-6 도,2009-05-13,20,35.250914,128.6453954
81,명서초 버스정류소,성산구,사파동,경남 창원시 의창구 명서동  500-3 도,2010-01-11,25,35.24917642,128.6413836
82,무학빌라앞(월남교),성산구,사파동,경남 창원시 마산합포구 문화동  17 도로,2011-08-05,20,35.18588787,128.5599679
83,무학상가 앞,성산구,사파동,경남 창원시 성산구 용호동  504 무학상가 앞,2008-01-08,26,35.23581373,128.6767808
84,문성고 맞은편,성산구,사파동,경남 창원시 성산구 반지동  505-3 도,2010-06-22,20,35.23756634,128.6620367
85,반지민원센터,성산구,사파동,경남 창원시 성산구 반지동  80-1 대,2009-05-11,23,35.24064865,128.6628547
86,법원 앞,성산구,사파동,경남 창원시 성산구 사파동  124번지 완충녹지,2008-10-02,20,35.2233209,128.6999255
87,봉곡중앙어린이공원,성산구,사파동,경남 창원시 의창구 봉곡동  106 공,2009-05-13,24,35.2474854,128.6655557
88,봉림동주민센터,성산구,사파동,경남 창원시 의창구 봉림동  680,2012-08-16,29,35.2517406,128.667416
89,봉림상가사거리,성산구,사파동,경남 창원시 의창구 봉곡동  139번지 버스정류장 앞,2008-10-02,30,35.24588634,128.6710516
90,봉림휴먼시아1단지앞공원,성산구,사파동,경남 창원시 의창구 봉림동  531,2015-06-14,20,35.254033,128.669078
91,봉암동 버스정류소앞,성산구,사파동,경남 창원시 마산회원구 봉암동  466,2017-01-30,25,35.2206608,128.5958181
92,봉암변전소,성산구,상남동,경남 창원시 마산회원구 봉암동  660-123),2021-07-27,20,35.2129814,128.6001232
93,부산신항사랑으로 부영3단지입구,성산구,상남동,경남 창원시 진해구 용원동  1356(부영3단지입구),2019-09-25,16,35.0886905,128.8027681
94,북면사무소,성산구,상남동,경남 창원시 의창구 북면 신촌리 964-5 전,2010-01-11,10,35.34809693,128.6076093
95,북면족욕체험장,성산구,상남동,경남 창원시 의창구 북면 신촌리 북면온천,2011-08-05,9,35.35329048,128.6116755
96,사림동 사격장,성산구,상남동,경남 창원시 의창구 사림동  117-1 공원,2011-08-05,20,35.24953565,128.6848998
97,사림동버스정류소,성산구,상남동,경남 창원시 의창구 사림동  510 도,2010-01-11,25,35.24421715,128.6759949
98,사림동성당 뒤,성산구,상남동,경남 창원시 의창구 사림동  106-1,2016-07-21,20,35.2476401,128.679074
99,사림민원센터옆 노외주차장,성산구,상남동,경남 창원시 의창구 사림동  502-4 사림민원센터 옆 노외주차장,2008-10-02,20,35.24270346,128.6818019
100,사파대동상가,성산구,상남동,경남 창원시 성산구 사파동  505 도,2010-06-22,30,35.22225804,128.6945224
101,사파동 주택지 공영주차장,성산구,상남동,경남 창원시 성산구 사파동  46-5 공영주차장,2017-01-30,23,35.2281455,128.7011917
102,사파동성아파트,성산구,상남동,경남 창원시 성산구 사파동  524 도,2009-05-13,25,35.21935487,128.7020123
103,사파동임시공영주차장,성산구,상남동,경남 창원시 성산구 사파동  39-19,2018-10-15,10,35.2298173,128.7037461
104,상남동 공영주차빌딩,성산구,성주동,경남 창원시 성산구 상남동  76-2,2021-11-11,23,35.2219032,128.6811823
105,상남동주민센터,성산구,성주동,경남 창원시 성산구 상남동  89-3 대,2009-05-13,20,35.21621258,128.6875203
106,상남분수공원,성산구,성주동,경남 창원시 성산구 상남동  24번지,2009-05-11,40,35.22100047,128.6833012
107,상남오거리,성산구,성주동,경남 창원시 성산구 상남동  42-1 공,2010-01-11,25,35.21998594,128.6856294
108,새롬아파트 앞,성산구,성주동,경남 창원시 마산합포구 동성동  317 도로,2011-08-05,21,35.20328717,128.580122
109,서부경찰서 버스정류소,성산구,성주동,경남 창원시 의창구 명서동  500-3도,2009-04-23,15,35.25061333,128.6395383
110,석동 하나로마트 앞,성산구,성주동,경남 창원시 진해구 석동  543-10,2015-06-14,23,35.157423,128.697976
111,석전동 메트로시티,성산구,성주동,경남 창원시 마산회원구 석전동  152-1,2020-09-11,20,35.2300627,128.5703661
112,성산구청,성산구,성주동,경남 창원시 성산구 성주동  5 공,2009-04-26,25,35.19886866,128.7022698
113,성산스포츠센터,성산구,성주동,경남 창원시 성산구 남양동  37-1,2017-09-11,30,35.2063152,128.7065469
114,시티세븐 건너편,성산구,용지동,경남 창원시 성산구 반지동  505-2 도,2010-06-22,23,35.2413869,128.6531639
115,신월서머나교회옆,성산구,용지동,경남 창원시 성산구 신월동  501-10 도,2009-05-13,16,35.22747736,128.6943358
116,신월성산복지회관,성산구,용지동,경남 창원시 성산구 신월동  501-1 도,2010-06-22,20,35.23035191,128.6952907
117,신월주공상가,성산구,용지동,경남 창원시 성산구 신월동  501-35 도,2009-05-13,25,35.22389935,128.6921203
118,신월주민운동장,성산구,용지동,경남 창원시 성산구 신월동  12-157차,2009-05-13,25,35.23071122,128.692815
119,신촌단지입구(한국철강맞은편),성산구,용지동,경남 창원시 성산구 신촌동  190 (신촌단지입구),2018-10-15,20,35.2123193,128.6355703
120,신항중학교,성산구,용지동,경남 창원시 진해구 용원동  1338-6,2019-09-25,17,35.0885854,128.8100118
121,신흥동 해군아파트 앞,성산구,용지동,경남 창원시 진해구 신흥동  1-1,2011-01-14,20,35.14771167,128.6573589
122,안민동 정자나무,성산구,용지동,경남 창원시 성산구 안민동  73 도,2010-06-22,19,35.18679541,128.6916536
123,양덕동 경남은행,성산구,용지동,경남 창원시 마산회원구 양덕동  25(도),2021-07-27,20,35.2305874,128.5841963
124,양덕동 삼각지 공원,성산구,용지동,경남 창원시 마산회원구 양덕동  412-14 답,2011-08-05,22,35.22073095,128.589381
125,양덕동메트로시티앞,성산구,용지동,경남 창원시 마산회원구 양덕동  84-15,2014-12-09,20,35.2282243,128.5811668
126,양덕초등학교 앞,성산구,용지동,경남 창원시 마산회원구 양덕동  833 공원,2011-08-05,18,35.2333863,128.5874176
127,어시장 정문,성산구,용지동,경남 창원시 마산합포구 신포동2가  118 도로,2011-08-05,20,35.20107794,128.5759056
128,오동동 삼성생명앞,성산구,용지동,경남 창원시 마산합포구 오동동  289-15 삼성생명앞 버스정류소,2013-10-03,20,35.20853166,128.5763669
129,용마고 앞,성산구,용지동,경남 창원시 마산합포구 산호동  470-8 도로,2011-08-05,22,35.21091381,128.581624
130,용원공영주차빌딩,성산구,용지동,경남 창원시 진해구 용원동  1219-1,2020-02-13,15,35.1000008,128.8144103
131,용원동 애플타운상가 옆,성산구,용지동,경남 창원시 진해구 용원동  1359,2020-09-11,18,35.0885845,128.8141018
132,용원하나로마트(맞은편),성산구,웅남동,경남 창원시 진해구 용원동  1289,2015-06-14,17,35.100843,128.809458
133,용지동 주민센터,성산구,웅남동,경남 창원시 성산구 용호동  62-2 용지동 주민센터,2008-10-02,30,35.23599775,128.6846396
134,용지사거리,성산구,웅남동,경남 창원시 성산구 반림동  512-3 도,2010-06-22,20,35.23203015,128.6729077
135,용지아이파크 건너편,성산구,웅남동,경남 창원시 성산구 중앙동  516-3 도,2010-06-22,20,35.22969244,128.6761692
136,용지호수,성산구,웅남동,경남 창원시 성산구 용호동  554-1,2009-05-12,27,35.23179134,128.6799967
137,용호동 35번지 공원옆,성산구,웅남동,경남 창원시 성산구 용호동  35 공,2009-05-13,24,35.23938463,128.6836633
138,우리누리청소년문화센터,성산구,웅남동,경남 창원시 마산회원구 합성동  58-5 도로,2011-08-05,24,35.2408699,128.59025
139,우성아파트 버스정류소 앞,성산구,웅남동,경남 창원시 진해구 풍호동  726-2 도로,2011-08-05,23,35.13954611,128.7021518
140,웅2동 청안공원,성산구,웅남동,경남 창원시 진해구 용원동  1207-1 공원,2011-08-05,11,35.10383877,128.8066506
